Study_Hours,Attendance,Previous_Marks,Assignment_Score,Sleep_Hours,Extracurricular_Activities,Performance
7.9,82.6,39.1,46.0,4.9,No,Low
9.5,49.2,92.1,81.7,9.2,Yes,Good
8.6,91.8,61.5,68.3,8.1,No,Average
3.2,72.2,43.6,51.7,8.9,Yes,Low
5.1,71.4,55.7,73.6,5.1,No,Average
2.2,77.6,59.0,57.1,7.2,Yes,Average
9.6,90.4,87.9,89.9,7.9,No,Good
6.5,64.1,81.4,78.5,7.7,No,Good
3.1,82.3,83.9,88.8,6.2,No,Good
7.0,76.1,30.8,44.9,4.1,Yes,Low
6.6,59.7,59.1,60.8,7.2,Yes,Average
4.2,93.3,63.7,70.6,5.4,Yes,Average
2.0,88.9,31.3,49.9,6.5,No,Low
7.0,81.2,48.2,56.4,9.3,No,Average
5.7,91.8,83.2,88.9,6.2,No,Good
8.0,92.7,39.6,53.7,8.6,Yes,Average
5.7,84.0,67.5,74.3,5.0,Yes,Average
8.7,91.0,45.1,58.7,7.7,Yes,Average
6.0,83.4,30.8,52.2,9.4,No,Average
6.0,82.4,46.9,57.3,4.6,No,Average
8.9,79.0,98.3,83.6,4.0,No,Good
4.6,86.4,86.1,92.5,6.4,Yes,Good
2.2,53.7,97.2,79.6,4.5,No,Average
1.3,93.4,64.1,69.6,8.1,No,Average
7.8,93.0,37.7,51.3,9.0,Yes,Average
6.6,46.6,68.4,68.7,6.4,No,Low
7.3,90.4,61.8,59.7,5.4,No,Average
2.9,52.1,89.1,93.7,6.4,No,Average
2.2,63.4,36.9,50.1,8.0,No,Low
1.1,85.9,64.2,71.8,4.0,Yes,Average
4.2,53.8,40.5,44.2,7.2,Yes,Low
6.3,90.0,52.7,65.3,7.4,No,Average
4.5,90.8,81.6,87.0,7.5,Yes,Good
4.9,72.9,63.3,69.4,5.3,No,Low
9.1,45.4,56.3,55.8,7.9,No,Low
4.1,60.8,57.6,59.0,4.5,No,Average
5.6,78.9,62.2,66.2,5.1,No,Average
8.1,99.0,85.0,88.4,8.8,Yes,Good
4.6,79.7,92.4,87.6,8.1,Yes,Good
6.6,59.3,96.9,91.3,4.1,Yes,Good
8.8,79.9,85.1,86.5,5.4,Yes,Good
9.5,74.7,52.1,44.2,5.2,Yes,Average
2.3,87.9,78.2,84.4,5.5,Yes,Good
9.3,50.9,60.6,58.7,5.4,No,Average
5.4,86.9,47.8,59.4,4.3,No,Average
3.3,74.8,88.9,82.7,6.5,Yes,Average
5.1,98.0,32.7,57.9,8.0,Yes,Average
9.8,63.8,93.1,89.0,7.3,No,Good
5.4,79.8,62.3,63.7,7.7,Yes,Average
4.0,96.3,74.6,83.1,4.4,Yes,Average
6.7,50.6,76.2,63.7,9.2,Yes,Average
3.2,96.5,92.7,86.9,8.6,No,Good
1.7,82.8,74.6,73.9,8.4,Yes,Average
2.2,48.7,73.0,70.0,8.5,No,Average
2.2,61.6,34.7,47.5,9.1,Yes,Low
2.4,83.9,66.3,74.1,7.0,No,Average
2.2,48.7,40.5,46.6,5.1,Yes,Low
6.8,77.0,81.6,82.8,7.4,Yes,Good
2.6,64.0,65.9,62.1,8.1,No,Average
4.1,79.2,77.6,80.2,8.1,No,Good
9.1,47.5,32.9,41.3,6.9,No,Low
5.3,92.9,35.9,56.8,4.4,No,Low
7.0,98.5,80.1,91.6,6.0,No,Good
2.6,98.3,35.0,57.5,9.1,No,Low
2.7,86.2,35.0,52.1,7.2,No,Low
1.4,52.2,30.8,42.6,7.0,Yes,Low
